1096052406	20230416	202304	2023	2023.2904											RUS	RUSSIA	RUS								1	046	046	04	1	7.0	3	1	3	-7.17488789237668	0								4	Yekaterinburg, Sverdlovskaya Oblast', Russia	RS	RS71	25100	56.8575	60.6125	-3040171	4	Yekaterinburg, Sverdlovskaya Oblast', Russia	RS	RS71	25100	56.8575	60.6125	-3040171	20230416031500	https://www.spokesman.com/stories/2023/apr/15/wsj-reporter-writes-letter-in-russian-prison-i-am-/
1096052407	20230416	202304	2023	2023.2904											RUS	RUSSIA	RUS								1	046	046	04	1	7.0	1	1	1	-7.17488789237668	0								1	Ukraine	UP	UP		49	32	UP	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20230416031500	https://www.spokesman.com/stories/2023/apr/15/wsj-reporter-writes-letter-in-russian-prison-i-am-/
1096052408	20230416	202304	2023	2023.2904											TJK	DUSHANBE	TJK								0	043	043	04	1	2.8	10	1	10	1.99004975124379	0								4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	20230416031500	https://sputnikglobe.com/20230416/putin-attends-orthodox-easter-service-at-moscow-cathedral-1109566716.html
1096052409	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								1	031	031	03	1	5.2	1	1	1	-1.43884892086331	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230416031500	https://www.enidnews.com/news/from-comatose-to-eating-on-his-own-otters-road-to-recovery-cut-short/article_bdb9631e-07da-577b-9201-bdc02b680952.html
1096052410	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	1	4	-3.46820809248555	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20230416031500	https://www.austinglobe.com/news/273749222/astros-use-big-7th-inning-to-pound-rangers-8-2
1096052411	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								0	036	036	03	1	4.0	4	1	4	3.41419586702605	0								3	Bowling Green, Indiana, United States	US	USIN		39.3831	-87.0117	431404	3	Bowling Green, Indiana, United States	US	USIN		39.3831	-87.0117	431404	20230416031500	https://www.sent-trib.com/2023/04/15/community-briefs-5/
1096052412	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	3.41419586702605	0								3	Montessori School, Texas, United States	US	USTX		29.5258	-98.427	1341830	3	Montessori School, Texas, United States	US	USTX		29.5258	-98.427	1341830	20230416031500	https://www.sent-trib.com/2023/04/15/community-briefs-5/
1096052413	20230416	202304	2023	2023.2904											USA	MISSOURI	USA								1	040	040	04	1	1.0	12	1	10	-1.79640718562874	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20230416031500	https://boxden.com/showthread.php?t=3236295
1096052414	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								1	042	042	04	1	1.9	8	1	8	1.78147268408551	0								3	Garfield County, Oklahoma, United States	US	USOK		36.1875	-98.0628	1101811	3	Garfield County, Oklahoma, United States	US	USOK		36.1875	-98.0628	1101811	20230416031500	https://www.enidnews.com/news/local_news/enid-author-fest-brings-authors-from-enid-around-oklahoma-together/article_bea639a8-dbc0-11ed-b8e3-8b757007aadb.html
1096052415	20230416	202304	2023	2023.2904											USA	UNITED STATES	USA								1	042	042	04	1	1.9	11	1	6	-1.57728706624606	0								3	Salt Lake, Texas, United States	US	USTX		32.167	-101.675	1331014	3	Salt Lake, Texas, United States	US	USTX		32.167	-101.675	1331014	20230416031500	https://www.austinglobe.com/news/273749250/fc-dallas-makes-most-of-chances-in-win-over-real-salt-lake
